0.000000000000000000e+00 9.334758317240232639e-02 4.701150156672696118e-02 -1.579235706156141214e-02 -2.283797278474342801e-02 2.270821415912191530e-03 6.783330235492942813e-04 1.245323648020945067e-03 1.950466735866569160e-03 1.528271443849950003e-04
1.000000000000000056e-01 5.340317675286689048e-02 -1.147676843061962160e-02 -1.911223671055507084e-02 -4.164660882284482168e-02 -8.678939645224939547e-03 -2.636174178756129499e-03 -5.827259157882550347e-03 -9.978399921398786038e-03 -1.017069848952640437e-02
2.000000000000000111e-01 4.174321088175753092e-04 9.084344049673111210e-02 -4.755291580588394407e-02 -4.460595769658742479e-03 -1.609166922409084252e-02 -2.140638074985755368e-02 -1.034145043265827929e-02 -1.626060201176204173e-02 -1.342074237249312081e-02
3.000000000000000444e-01 -1.556515722443723437e-01 -3.154902091605415321e-02 -3.750663725174205321e-02 -2.213208825140369068e-02 7.161397224275910245e-03 -2.050176350252734883e-02 -1.973307551465560555e-02 -2.016383983704661195e-02 -2.101067877576617143e-02
4.000000000000000222e-01 -1.552946964603937330e-01 -3.495673912555003621e-02 -9.692073503168965529e-03 -2.337442506116790483e-02 -4.001543007820112380e-03 -2.796560921953654411e-02 -1.979904226889129398e-02 -1.979169724762233282e-02 -2.204564171472328526e-02
5.000000000000000000e-01 2.102962841168005970e-02 1.898321094209506343e-01 2.463270268275224301e-02 -3.228233248823073748e-03 -1.789349247552270844e-02 -2.226345267372801043e-02 -1.899938588576205456e-02 -1.898784997424248638e-02 -2.093396386223643491e-02
6.000000000000000888e-01 -2.080197377085378774e-01 -5.863403429969094721e-02 -3.644390094469952823e-02 -2.474285629087423152e-02 -2.043407375095212392e-03 -2.285028850838576042e-02 -1.713231351484480539e-02 -1.738972437348792338e-02 -1.569853245334620548e-02
7.000000000000000666e-01 -1.213286289988543300e-02 4.914421410538101498e-02 -3.017494547335406244e-02 -3.572719834089006785e-02 -1.855921414732960087e-02 -4.120606106310681360e-03 -7.796613674036111628e-03 -9.562713819385108838e-03 -1.264996418892463600e-02
8.000000000000000444e-01 8.936942440995468417e-02 1.383632821546014469e-03 1.395841916508507377e-02 6.886506286946217359e-03 -5.653866887967954821e-03 -1.641023036424354292e-02 -4.570738142267092609e-03 -6.653129008251953622e-03 -4.534175734483849272e-03
9.000000000000000222e-01 4.357311010862890965e-02 -1.092549273078178701e-01 -4.361238338273362020e-02 2.515932310278625253e-02 1.538846741516581955e-02 1.205136572357571635e-02 8.632436305952187472e-03 4.588946180957494646e-03 4.080954009239798515e-03
